corp_code,corp_name,Audit Committee,Audit Committee ODs,Inside Directors,Outside Directors,Other Non-Exec Directors,Auditors,Female Voting,Male Voting,Voting Directors,Non Registered,Total Assets (2024),Total Assets (2023),Total Assets (2022),rcept_no
113243,대한제분,0,0,3,1,0,1,0,4,4,11,1560462376675.0,1401353854060.0,1318431898542.0,20250313001408
113359,교보증권,3,3,2,5,0,0,0,7,7,19,15898332583027.0,15593363016079.0,13417260497201.0,20250313000901
113410,CJ대한통운,3,3,3,3,0,0,1,5,6,0,9743855522383.0,9357587266747.0,9693299818264.0,20250317000953
113492,깨끗한나라,0,0,4,1,0,1,1,4,5,9,621077310491.0,641522252002.0,661046979250.0,20250320000849
113508,노루홀딩스,0,0,3,2,0,1,0,5,5,4,1214838948245.0,1188823571530.0,1171989377978.0,20250313001148
113526,대한항공,4,4,4,6,0,1,1,9,10,76,47012065940089.0,30391776029656.0,28997701022484.0,20250318001334
113535,대한해운,6,6,4,6,0,1,1,9,10,10,4580381441177.0,4727803814347.0,4490260111628.0,20250320001093
113544,대한화섬,3,3,2,4,1,1,0,7,7,5,820584705338.0,860872753953.0,836764531649.0,20250320001114
113562,롯데손해보험,3,3,2,3,0,1,0,5,5,25,15541477889770.0,14912417300957.0,16764540172423.0,20250424000557
113614,대현,3,3,3,3,0,0,0,6,6,7,306459203587.0,309337533919.0,297649820407.0,20250321001236
113997,롯데에너지머티리얼즈,0,0,2,2,0,1,1,3,4,13,2282023058453.0,2392246607934.0,2430279801877.0,20250314001597
114093,덕성,0,0,3,3,0,0,0,6,6,0,136247328127.0,126819096992.0,125172358791.0,20250317000503
114154,디와이덕양,0,0,4,3,0,1,1,6,7,12,558566600775.0,573648655244.0,520217537029.0,20250317000666
114552,도화엔지니어링,3,3,7,3,0,0,1,9,10,0,605181373534.0,605100050298.0,522590275567.0,20250319000715
114765,케이비아이동국실업,0,0,2,1,0,1,0,3,3,5,764811017139.0,622237518375.0,553570561673.0,20250319000773
114792,동국홀딩스,0,0,2,1,0,1,0,3,3,1,2509278276042.0,2421648337449.0,6451247796882.0,20250318001457
115065,동남합성,0,0,3,2,0,0,1,4,5,2,96866644254.0,97568839749.0,92085226130.0,20250311000605
115287,동방,0,0,4,2,0,1,0,6,6,14,630330388517.0,599319321340.0,567964926094.0,20250320001398
115384,동방아그로,0,0,3,1,0,1,0,4,4,6,238666824251.0,224384203562.0,216528029378.0,20250313000657
115612,동부건설,0,0,3,2,0,2,0,5,5,25,1651094133285.0,1807512336047.0,1581700494344.0,20250321000777
115676,KG스틸,3,2,2,4,1,0,0,7,7,14,3341371364302.0,3195514054360.0,3051507326663.0,20250318001327
115694,DB증권,3,3,2,3,0,1,0,5,5,35,10670641837509.0,10211959858311.0,9757370294448.0,20250317000605
115977,아이에스동서,3,3,3,5,0,0,1,7,8,0,3553988560322.0,4237373316087.0,3737786456047.0,20250319001050
116268,동성제약,0,0,2,1,0,1,0,3,3,16,151912649154.0,114973284037.0,107702060968.0,20250321001375
116301,NI스틸,0,0,3,1,0,1,0,4,4,14,473689516733.0,447987063260.0,397444642902.0,20250313000820
116824,동아쏘시오홀딩스,3,3,2,5,0,1,0,7,7,8,2030483787016.0,1957106350366.0,1731452067203.0,20250321001899
116949,DN오토모티브,0,0,3,2,0,1,0,5,5,45,5006031529000.0,4567386501000.0,4591590751000.0,20250313001452
117027,알루코,3,3,3,3,0,0,0,6,6,8,954000570292.0,861149661387.0,816932966181.0,20250318000832
117179,디와이,0,0,6,2,0,1,0,8,8,7,1003494179959.0,930244752630.0,861083032957.0,20250312001047
117188,효성,3,3,2,6,0,0,1,7,8,38,4340864429768.0,5088858301845.0,5267284720508.0,20250313001006
117212,두산,4,4,4,4,0,0,1,7,8,0,30143063000000.0,28286809000000.0,26315353000000.0,20250321001806
117230,TYM,4,4,4,4,0,0,1,7,8,5,836567835684.0,849110905422.0,782128426554.0,20250319000651
117267,동양생명,3,3,2,4,1,0,1,6,7,16,34547211856250.0,32869437390169.0,34866586937074.0,20250331000321
117300,TCC스틸,0,0,3,1,0,2,0,4,4,10,573950624572.0,559737446490.0,507482316790.0,20250319000643
117337,동양,3,3,3,3,0,0,1,5,6,12,1316088357178.0,1099649987596.0,983550240798.0,20250320001075
117498,스틱인베스트먼트,3,3,4,3,0,0,0,7,7,27,264651295308.0,284857118798.0,253949338421.0,20250320001381
117577,오리온홀딩스,3,3,2,3,0,0,2,3,5,0,5933196336149.0,5138300057884.0,5102168431194.0,20250318000980
117601,유안타증권,3,3,1,3,1,1,0,5,5,33,16800267411000.0,16461846690000.0,13419879837000.0,20250313000247
117629,동양철관,0,0,2,1,0,1,0,3,3,4,192335715993.0,208762933559.0,183082959042.0,20250317000788
117726,DYP,3,3,4,3,0,0,1,6,7,0,413955272202.0,372634565534.0,374266034502.0,20250321001077
118008,동원금속,0,0,3,3,0,0,0,6,6,20,478904741185.0,487867520934.0,456870590279.0,20240619000177
118026,동원산업,3,3,3,4,0,0,1,6,7,17,7158211208881.0,7725142829294.0,7061179537459.0,20250318001125
118044,동원수산,0,0,3,1,0,1,0,4,4,9,108869307630.0,114611865652.0,121789602384.0,20250404003738
118266,DRB동일,0,0,1,3,1,0,1,4,5,0,982414184864.0,963651592108.0,945238494728.0,20250313000850
118275,디아이,0,0,3,2,1,1,0,6,6,0,319610580416.0,280589482061.0,274585823020.0,20250313001050
118345,디아이동일,0,0,4,4,0,1,1,7,8,6,1013743449745.0,975653234729.0,997884899051.0,20250331004012
118451,동일제강,3,3,4,3,0,0,0,7,7,0,171801171723.0,179232275038.0,179708719037.0,20250424000289
118521,진원생명과학,0,0,2,1,0,1,0,3,3,5,151334407812.0,151007705312.0,222866686597.0,20250318000646
118965,티에이치엔,0,0,3,1,0,1,1,3,4,10,454354334361.0,402977300428.0,371353957512.0,20250319001022
119007,무림P&P,3,3,2,3,0,0,0,5,5,10,1691457264967.0,1622970089396.0,1604057802775.0,20250314001672
119140,핸즈코퍼레이션,3,3,5,3,1,0,0,9,9,7,885079753443.0,976559117445.0,862588714003.0,20250321001881
119195,동화약품,0,0,4,3,0,0,1,6,7,13,619634925512.0,558520067703.0,461136459052.0,20250318000739
119672,두올,3,2,3,2,2,0,1,6,7,0,514202251500.0,477089681561.0,462171290214.0,20250318001138
120021,LG,4,4,3,4,0,0,1,6,7,17,31639273000000.0,30253085000000.0,29633677000000.0,20250318001070
120030,GS건설,3,3,2,4,1,0,1,6,7,40,17803293924556.0,17707298538013.0,16946616696898.0,20250325001066
120076,LX인터내셔널,3,3,2,4,1,0,1,6,7,15,8930865616216.0,7995340730864.0,7719007333629.0,20250320000626
120182,NH투자증권,2,2,1,5,1,1,1,6,7,51,62427065000000.0,56697893000000.0,53428267000000.0,20250313000770
120526,롯데쇼핑,3,3,3,5,0,0,2,6,8,0,39003044584713.0,30644698696537.0,31703575873070.0,20250314001659
120562,롯데지주,3,3,5,5,0,0,1,9,10,34,22660277693897.0,23160430746458.0,22175416666050.0,20250620000111
120571,롯데칠성음료,5,5,6,5,0,0,3,8,11,26,4372529473212.0,4257669750821.0,3695935640310.0,20250317000932
120872,만호제강,0,0,3,1,0,0,0,4,4,6,204811085193.0,256575339407.0,258305672651.0,20250805000299
121039,명문제약,0,0,2,1,0,1,0,3,3,10,257987686198.0,236548793649.0,230449822959.0,20250326000618
121288,모나미,0,0,3,1,0,2,0,4,4,4,199293931372.0,195918816223.0,218432623722.0,20250321000631
121534,MH에탄올,0,0,3,1,0,1,0,4,4,6,401701920783.0,445231562517.0,447440404391.0,20250312000625
121543,무학,3,3,4,3,0,0,1,6,7,2,680447311689.0,639327517358.0,605739795014.0,20250324000610
121570,문배철강,0,0,3,1,0,1,1,3,4,2,224208819934.0,231645964686.0,206906858449.0,20250708000057
121932,미원상사,3,3,4,3,0,0,0,7,7,0,478696089051.0,447566168775.0,415619324562.0,20250317000651
121941,대상,4,4,0,0,0,0,0,0,0,51,3509835110048.0,3334370027478.0,3190196448368.0,20250321000555
121969,에쓰씨엔지니어링,0,0,5,4,1,2,1,9,10,5,111856083779.0,99303952812.0,106506525380.0,20250326001145
122056,미창석유공업,0,0,3,2,1,1,1,5,6,5,488925013884.0,416240456536.0,357326202513.0,20250321001415
122348,방림,0,0,3,1,0,1,0,6,6,2,231627131187.0,243460571984.0,265220043723.0,20241219000406
122472,PKC,3,3,2,3,0,0,0,5,5,0,464295668847.0,426908196303.0,404267600510.0,20250318001326
122481,태경비케이,0,0,2,1,0,3,0,3,3,5,385609175182.0,378041031409.0,361240178636.0,20250320001058
122551,백산,0,0,3,1,0,1,0,4,4,1,457884953600.0,351920466967.0,338873471894.0,20250319000644
122579,BYC,0,0,7,3,0,3,0,10,10,6,696400955313.0,685663060325.0,668872026401.0,20250320001026
122694,범양건영,0,0,4,2,0,1,0,6,6,8,187184486500.0,192910732982.0,215054261704.0,20250605000505
122737,팬오션,4,4,3,4,0,0,1,6,7,13,10271506000000.0,7853946000000.0,7548942000000.0,20250318000777
122825,인스코비,0,0,4,2,1,1,0,7,7,5,90729786743.0,76484143419.0,101183784087.0,20250321001886
122898,벽산,0,0,1,3,0,1,0,4,4,7,640284164647.0,620426943865.0,601820033901.0,20250321001224
123107,보락,0,0,2,1,0,1,0,3,3,5,59282151485.0,57928435922.0,60912251547.0,20250321000822
123143,보령,0,0,4,2,0,1,1,5,6,23,1164086929992.0,915511541054.0,892385915179.0,20250320001237
123541,보해양조,0,0,3,1,0,1,1,3,4,7,138831713491.0,143300746774.0,147392500947.0,20250318001002
123718,부광약품,3,3,1,3,0,0,0,4,4,0,373180311828.0,429017049398.0,400929188514.0,20250318000877
123772,부국증권,3,3,4,3,0,1,0,7,7,46,1651368375233.0,1770492019487.0,1481429884085.0,20250319000744
123781,부국철강,0,0,2,1,0,1,0,3,3,0,153106976657.0,156095854681.0,153622003905.0,20250320000887
124027,부산산업,0,0,3,2,0,1,0,5,5,3,335401253997.0,278200798954.0,134678926321.0,20250320000250
124090,한국특강,3,3,3,3,0,0,0,6,6,5,550648594083.0,560997435417.0,547808387659.0,20250321001284
124151,부산주공,3,3,1,3,0,0,0,4,4,3,226336878948.0,232856662011.0,233931779498.0,20250521000343
124197,세아제강지주,0,0,3,1,0,1,0,4,4,2,5555573758508.0,4340755996109.0,3572067658664.0,20250317000708
124504,포스코인터내셔널,3,3,2,5,1,0,1,7,8,0,17336325971000.0,16617748008000.0,12516336931000.0,20250314001718
124540,대우건설,4,4,1,6,0,1,2,5,7,85,12658456266814.0,11243136483407.0,11140353752210.0,20250318000982
124726,빙그레,0,0,4,2,0,1,0,6,6,8,1003074746009.0,890717259861.0,769266587599.0,20250312000859
124780,사조씨푸드,3,3,3,3,1,0,0,7,7,2,337828786614.0,320138049682.0,350700454619.0,20250311000913
124799,사조산업,3,3,4,3,1,0,0,8,8,3,1216795673119.0,1169759640111.0,1166611978191.0,20250312000903
125080,AK홀딩스,3,3,4,3,1,0,1,7,8,1,5336874928103.0,5314995084396.0,4985365771362.0,20250318001263
125150,SGC에너지,0,0,4,2,0,1,0,6,6,0,3436299886778.0,2967510633959.0,3054362176494.0,20250312001090
125521,에스엘,3,3,3,4,0,0,1,6,7,0,3698864220516.0,3235734467246.0,2931636940305.0,20250318000826
125530,SPC삼립,3,3,3,3,0,0,0,6,6,23,1240796531981.0,1293732304548.0,1295399585606.0,20250318001175
125576,체시스,0,0,4,2,0,0,0,6,6,4,83146042729.0,90568081356.0,84258477019.0,20250321001138
125743,현대비앤지스틸,3,3,3,3,1,0,0,7,7,6,753622046641.0,792550276136.0,857843841402.0,20250321001499
125974,삼부토건,0,0,3,1,0,2,0,4,4,14,300331502195.0,513742450417.0,498726793527.0,20250407003073
126089,DH오토넥스,0,0,3,1,0,0,0,4,4,0,66061636175.0,74273121353.0,543210276853.0,20250604000001
126186,삼성에스디에스,3,3,3,4,0,0,1,6,7,0,13238330251696.0,12321024561023.0,11952424889489.0,20250311001129
126201,삼성공조,1,1,3,1,0,1,0,4,4,3,322603910471.0,313423840444.0,308654791181.0,20250320001319
126256,삼성생명,3,3,2,4,0,0,1,5,6,58,312218844000000.0,314655050000000.0,296234163000000.0,20250331004004
126292,삼성카드,3,3,2,4,0,0,1,5,6,24,29494082851904.0,28806533713375.0,29623192873201.0,20250312000920
126308,삼성E&A,3,3,3,4,0,0,1,6,7,0,10013337796132.0,7801398613122.0,7848723222714.0,20250312001103
126362,삼성SDI,3,3,3,4,0,0,2,5,7,0,40597344536357.0,34038860192967.0,30257525171127.0,20250311001275
126371,삼성전기,3,3,3,4,0,0,2,5,7,0,12792402920884.0,11657871601848.0,10997170898641.0,20250311001190
126380,삼성전자,3,3,3,6,0,0,2,7,9,0,514531948000000.0,455905980000000.0,448424507000000.0,20250311001085
126414,삼성제약,0,0,4,2,0,1,0,6,6,0,128451959179.0,93479032024.0,117914808538.0,20250319000845
126478,삼성중공업,3,3,3,4,0,0,1,6,7,34,17194637128138.0,15593389152394.0,14491697984864.0,20250319000397
126487,F&F 홀딩스,3,3,4,3,0,0,0,7,7,2,4033253443201.0,3840524557786.0,3595118444613.0,20250318000985
126566,한화에어로스페이스,3,3,3,4,0,0,1,6,7,111,43336873685473.0,19542899925708.0,15151828043299.0,20250317000990
126779,삼아알미늄,0,0,2,2,4,0,0,8,8,8,436163754728.0,404298806447.0,288153289588.0,20250313001287
126937,삼양홀딩스,4,4,3,4,0,0,0,7,7,12,5290507469287.0,5154457321588.0,4547780622106.0,20250320000941
126955,삼양식품,3,3,4,4,0,0,2,6,8,11,1594782196967.0,1170302770895.0,924929490964.0,20250318001186
127042,삼양통상,3,3,3,3,0,0,0,6,6,0,454131400837.0,454751843435.0,457536775769.0,20250321001357
127158,씨아이테크,0,0,5,2,0,1,0,7,7,0,91803642408.0,90579937958.0,94190035332.0,20250321000753
127167,삼영무역,3,3,1,3,0,0,1,3,4,5,728709407076.0,675612520563.0,624208062873.0,20250318000675
127200,삼영전자공업,0,0,6,2,0,1,0,8,8,0,557296058316.0,544042879787.0,543607709814.0,20250320001464
127255,삼영,0,0,3,2,0,0,0,5,5,0,136049880807.0,132156558539.0,135833316129.0,20250320000750
127802,삼익THK,3,3,4,3,2,0,1,8,9,1,463599405877.0,473605961393.0,444027583867.0,20250313001328
127857,삼익악기,0,0,3,1,0,0,0,4,4,0,524982806967.0,534158280214.0,521558832964.0,20250710000455
128032,삼일제약,0,0,3,3,0,0,0,6,6,6,395071163939.0,370680097036.0,356700496639.0,20250328001724
128227,삼정펄프,0,0,2,1,0,1,0,3,3,0,298459252351.0,245334463702.0,232663818640.0,20250327001293
128412,삼진제약,3,3,5,3,0,0,2,6,8,19,425166281599.0,419901236797.0,406556944095.0,20250313001200
128555,삼천리,3,3,2,3,0,2,1,4,5,30,4518198223654.0,4432766185103.0,5021952466150.0,20250313000950
128980,삼호개발,0,0,3,1,0,1,0,4,4,9,345696628502.0,328385015731.0,282392862209.0,20250317000096
129013,CJ씨푸드,0,0,3,1,0,1,0,4,4,1,173079219891.0,168208968603.0,143409086635.0,20250317000808
129235,삼화왕관,0,0,2,1,0,2,0,3,3,6,203950424754.0,201158073368.0,222783556966.0,20250320000947
129271,삼화전기,0,0,5,2,1,2,0,8,8,3,173158472097.0,139238488628.0,139115269782.0,20250313000817
129280,삼화전자공업,0,0,3,1,0,1,0,4,4,0,70192709528.0,73014231901.0,68742292985.0,20250313000955
129350,삼화콘덴서공업,0,0,6,2,0,1,0,8,8,8,328114248167.0,308031065017.0,287453832625.0,20250313000953
129387,삼화페인트공업,0,0,3,2,0,1,0,5,5,0,619315087530.0,590613614037.0,587186274133.0,20250312000816
129420,까뮤이앤씨,3,3,3,3,0,0,0,6,6,2,276541274780.0,255548356312.0,195489393903.0,20250321001470
129509,한익스프레스,0,0,2,1,0,1,0,3,3,5,400183680273.0,427530518024.0,407946966305.0,20250319000814
129554,갤럭시아에스엠,0,0,1,1,2,1,0,4,4,1,69828890819.0,90043246014.0,57863011528.0,20250320001142
129642,상신브레이크,3,3,3,3,0,0,0,6,6,15,591078392906.0,564873378508.0,544569685947.0,20250314001195
129679,녹십자,3,3,3,4,0,0,1,6,7,22,2743875851979.0,2643313917487.0,2525537081269.0,20250318001288
129989,코스모신소재,3,3,4,3,0,0,0,7,7,10,784541943950.0,672673343828.0,451321116581.0,20250314000812
130091,샘표,0,0,2,1,0,1,0,3,3,0,479780920010.0,474583602862.0,465919907060.0,20250314000972
130684,서울도시가스,3,3,4,3,0,0,0,7,7,9,1765962363102.0,1777219780282.0,1871342447045.0,20250703000161
130772,SBS,0,0,2,4,0,0,0,6,6,4,1512366601922.0,1346398451632.0,1407888696660.0,20250320001108
