corp_code,corp_name,corp_eng_name,stock_code
00505170,동북아3호선박투자회사,Dongbuka  No.3 Ship Investment Company Co.Ltd,080960
00259439,지아이바이오,"GIBIO Co., Ltd.",035450
00207436,알에스넷,"R&S Networks Co., Ltd.",046430
00408585,나이스메탈,"Nice Metal Co.,LTD",072530
00115038,하나IB증권,Hana Investment Banking & Securities Inc.,003330
00288653,퓨쳐비젼,"FUTURE VISION CO.,LTD",042570
00303837,이레전자산업,"E-RAE Electronics Industry Co., Ltd.",045310
00330017,레이더스컴퍼니,"Raiders Company Co., Ltd.",047420
00264769,포이보스,"POIBOS CO., LTD",038810
00308948,미디어코프,"MEDIAcorp, INC.",053890
00321222,케이디세코,"K-D'seco Co., Ltd.",073780
00361202,이노블루,"InnoBlue Co.,Ltd.",066200
00450728,도움,"DOMCO.,LTD.",078610
00535773,엑스씨이,"eXtendedComputingEnvironmentCO.,LTD.",081500
00152950,코오롱유화,"KOLON CHEMICAL CO.,LTD",011020
00296069,세라온홀딩스,"SERAONHOLDINGS CO.,LTD",050600
00521956,현대경매부동산일호투자회사,HYUNDAI AUCTION REAL ESTATE FUND 1ST,083160
00360540,우수씨엔에스,"WOOSU CNS CO., LTD.",060550
00593519,동북아31호선박투자회사,Dongbuka No. 31 Ship Investment Company,093730
00194372,후야인포넷,"HOOYA INFONET CO., LTD.",032050
00154693,이레아이엔씨,"Erae I&C co.,Ltd",036900
00106650,카스코,"KOREA AUTOMOTIVE SYSTEMS CO.,LTD",005330
00368791,모델라인,"ModelLine Co.,  Ltd.",064720
00220552,청람디지탈,"CHUNG LAM DIGITAL CO.,LTD",035270
00294371,한텔,Hantel Co. Ltd,041940
00353683,코스모스피엘씨,"Cosmos PLC Co., Ltd.",053170
00252375,나노하이텍,"NANO HITEC ELECTRONIC CO.,LTD.",071360
00260903,쓰리소프트,3SOFT. Inc.,036360
00261461,트라이콤,TRICOMINC.,038410
00265218,케이엔에스홀딩스,KNS HOLDINGS INC.,036760
00471989,지비에스,"GBS Co., Ltd.",076170
00306986,피더블유제네틱스,"PWGenetics Co., Ltd.",065910
00356644,엠텍반도체,"Mtek Semicon CO.,LTD",054440
00305695,세니콘,"CENICONE CO., LTD",056060
00257051,유씨아이콜스,UC IndustryCommunityOnLineServices Inc.,065810
00459589,코크렙제3호CR리츠,KOCREF CR-REITIII,073530
00366164,아이티센네트웍스,"ITCEN NETWORKS CO., LTD.",057110
00436728,리얼티코리아제1호기업구조조정부동산투자,"REALTY KOREA CR REIT CO.,LTD",072450
00136235,BHK,BHK Inc.,003990
00328854,포넷,"FONET Co., Ltd.",048270
00120960,맥슨텔레콤,"MAXON TELECOM CO.,LTD",009890
00119733,엔토리노,nTorino Corporation Inc.,032590
00119423,두림티앤씨,"DOORIM T&C CO., LTD.",033330
00557067,동북아27호선박투자회사,Dongbuka No. 27 Ship Investment Company,089170
00557058,동북아28호선박투자회사,Dongbuka No. 28 Ship Investment Company,089180
00557030,동북아30호선박투자회사,Dongbuka No. 30 Ship Investment Company,089200
00557049,동북아29호선박투자회사,Dongbuka No. 29 Ship Investment Company,089190
00244330,현주컴퓨터,HYUNJU COMPUTER CO. LTD,038960
00120100,LG석유화학,"LG PETROCHEMICAL CO.,LTD",012990
00246657,오브제,"OBZEE CO., LTD",058680
00130037,휴닉스,HUNIX INC.,009790
00405074,세이프아시아,"Safe Asia Co., Ltd.",066330
00398534,코크렙제1호기업구조조정부동산투자회사,KOCREF CR-REIT1,067910
00165200,위너스인프라인,Winners Infraline Corporation,005760
00150183,AP우주통신,"Asia Pacific Space Telecom Co., Ltd",015670
00268482,조이토토,"Joytoto Co., Ltd",044370
00363033,한도하이테크,"HANDO HI-TECH CO., LTD.",060660
00364227,에너윈,"ENERWIN Co.,Ltd.",055970
00458915,유레스메리츠제1호,UresMeritz1stCR-REIT,073470
00386876,교보메리츠퍼스트기업구조조정부동산투자회사,KYOBO-MERITZ FIRST CR-REIT,064900
00543073,굿앤리치부동산공경매투자회사1호,GOOD&RICH REAL ESTATE AUCTION FUND[1],085450
00160445,한국합섬,HANKOOK SYNTHETICS INC,025830
00554468,굿앤리치부동산공경매투자회사2호,Good&Rich real estate auction fund[2],088510
00165565,디에스피이엔티,"DSP Ent Co., Ltd.",016040
00300256,시큐어소프트,SecureSoft Inc.,037060
00138491,동부일렉트로닉스,"DONGBUELECTRONICS CO.,LTD",001830
00102821,고려시멘트,"KOREA CEMENT co., Ltd",003660
00377814,베스트플로우,BestFlow Inc.,060410
00364670,쿨투,CUL 2 Inc.,056020
00143013,우영,Wooyoung,012460
00263991,모빌링크텔레콤,"Mobilink Telecom Co., Ltd.",041310
00105183,극동제혁,"KEUKDONG TANNING CO.,LTD",010200
00173254,한마음상호저축은행,HANMAUM MUTUAL SAVINGS BANK,025450
00101637,그로웰전자,"Growell Electronics, Inc.",009220
00124513,부흥,"BOOHUNG CO.,LTD",003930
00154417,퍼시픽글라스,"Pacificglas, Inc",009080
00119362,아이인프라,"iINFRA.Co.,Ltd",008780
00140353,씨크롭,"CECROP CO.,LTD",016970
00170451,외환신용카드,"Korea Exchange Bank Credit Service Co., Ltd.",038400
00267793,삼화기연,"Samwha Engineering Co., Ltd",033210
00260639,대흥멀티미디어통신,daeheung multimedia communication corp,037250
00153852,텔슨정보통신,TelsonInformation&Communication,018180
00248956,비이티,"BET CO., LTD.",036820
00390028,코오롱인터내셔널,KOLON INTERNATIONAL CORP.,063510
00260888,엔써커뮤니티,N'ser community Inc.,037750
00275710,써미트테크놀로지,Summit Technology,039000
00172103,코리아이앤디,Coreaelectronics & development.inc,027440
00263955,트래픽아이티에스, ,038050
00261601,호성,"HOSUNG, INC.",035870
00265254,넥스텔,NEXTEL INCORPORATED.,037220
00255266,쓰리알,3R,037730
00259916,그로웰텔레콤,"GrowellTelecom Co., Ltd.",035780
00131434,서통,SUTTONG,001150
00271352,테크메이트,Techmate Corporation,043690
00244932,한아시스템,"HANA SYSTEMS, INC",036020
00348052,엔에스아이,"NSI, Inc",053250
00367598,케이티씨텔레콤,"KTC Telecom CO., Ltd.",055810
00267720,신한SIT,"SHIN HAN SIT CO.,LTD",054530
00147949,스마텔,Smartel corporation,004190
00203458,동방라이텍,"DONGBANG Litech CO., LTD",025690
00130000,아이텍스필,i-TEX F.I.L. LTD.,008030
00145534,이수세라믹,"ISU CERAMICS., LTD",032180
00425360,코크렙제2호기업구조조정부동산투자회사,KOCREF CR-REIT2,070540
00141334,영풍산업,YOUNG POONG MINING & CONSTRUCTION CORPORATION,002850
00384452,모닷텔,"MODOTTEL Co.,Ltd.",048150
00103583,광덕물산,"KWANGDUKMOOLSAN CO.,LTD",003590
00162142,동원증권,Dongwon Securities,005890
00236021,우주통신,"WOO JU COMMUNICATION CO., LTD.",054080
00106483,기라정보통신,"Kira Information&Communications Co.,Ltd",019930
00208374,텔슨전자,TelsonElectronics,027350
00309983,하이콤정보통신,Hycom Data Communications Inc.,048540
00277727,미래에셋굿라이프혼합형자녀를위한펀드5-1,MIRAEASSETGOODLIFEBALANCEDFUND5-1,037500
00136217,한메엔에스,"HANME NS CO.,LTD",006150
00229827,이지클럽,"EASYCLUB CO., LTD.",038980
00247902,넷컴스토리지,NETCOM STORAGE,037010
00318477,모디아,"MODIA CO., LTD.",046000
00246815,성진산업,"SUNG JIN INDUSTRIAL CO., LTD.",037650
00260921,아이엠아이티,"IMIT. CO., LTD.",038100
00247762,맥시스템,"MAC SYSTEM CO., LTD.",036880
00350224,슈마일렉트론,"SUMA Electron Co., Ltd.",056500
00101992,센추리,CENTURY CORP,006750
00151614,베네데스하이텍,BENEDES HI-TECH Inc,009360
00179832,에스오케이,"SOK Co., Ltd.",032610
00241120,세원텔레콤,Sewon Telecom Ltd.,036910
00277985,한강구조조정기금,HANKANG RESTRUCTURING FUND,036060
00325918,케이엔티,Korea Neo Technology Co. Ltd,036590
00110981,대아리드선,"DAEA LEAD WIRE CO.,LTD",009940
00104467,국민은행,Kookmin Bank ,031150
00257361,월드텔레콤,"WORLD TELECOM CO.,LTD",047610
00358730,업필,"Up Feel CO.,LTD.",054370
00248406,화림모드,"HWARIMMODE CO.,LTD",045920
00110963,대아건설,DaeaConstruction,000380
00267021,창민테크,"CHANG MIN TECH CO., LTD",042960
00330406,씨제이엔터테인먼트,CJ Entertainment INC.,049370
00110079,대백쇼핑,Debec Shopping,027700
00141440,지니웍스,"GenieWorks Co.,Ltd.",036600
00135670,신광기업,"SHINKWANG ENTERPRISE CO.,LTD",001580
00144933,유진종합개발,YujinDevelopment&Construction,023420
00371139,휘튼,"FITTON Co., Ltd",066480
00218654,엠바이엔,MbyN Inc,031970
00115852,두산건설, ,002950
00113696,대호,DAEHO CORPORATION,001980
00253514,한신코퍼레이션,HAHN SHIN CORPORATION,037120
00105509,금강화섬,"KUMKANG TRADING CO.,LTD",010730
00163178,우리증권,"WOORI SECURITIES CO.,LTD",001280
00264185,피코소프트,"picosoft co.,ltd.",039580
00265157,바이오시스,"Biosys co.,ltd",035960
00270405,윌텍정보통신,Willtek corporation,039390
00125406,삼도물산,SAMDO CORPORATION,002930
00258731,현대멀티캡,"Hyundai MultiCAV Co.,Ltd",035910
00822572,씨아이에스,Creative & Innovative System Corporation,144630
00580603,코리아퍼시픽01호선박투자회사,"Korea Pacific No.01 Ship Investment Co.,Ltd.",090970
00580612,코리아퍼시픽02호선박투자회사,"Korea Pacific No.02 Ship Investment Co.,Ltd.",090980
00317830,신양오라컴디스플레이,"SHINYANG AURACOM DISPLAY Co.,Ltd.",086830
00311030,미래에셋증권,"MIRAE ASSET SECURITIES CO.,LTD",037620
00439053,이룸지엔지,"EROOM G&G CO.,LTD.",050640
00992312,에스와이이노베이션,"SY Innovation Co., Ltd.",194860
00580621,코리아퍼시픽03호선박투자회사,"Korea Pacific No.03 Ship Investment Co.,Ltd.",090990
00580630,코리아퍼시픽04호선박투자회사,"Korea Pacific No.04 Ship Investment Co.,Ltd.",091000
00262123,유아이에너지,UI Energy Corporation,050050
00533696,아시아퍼시픽14호선박투자회사,"ASIA PACIFIC NO. 14 SHIP INVESTMENT CO.,LTD",083610
00533757,아시아퍼시픽13호선박투자회사,"ASIA PACIFIC NO. 13 SHIP INVESTMENT CO.,LTD",083600
00533580,아시아퍼시픽10호선박투자회사,"ASIA PACIFIC NO. 10 SHIP INVESTMENT CO.,LTD",083570
01041217,현대에이블기업인수목적1호,Hyundai Able 1st Special Purpose Acquisition Company,204760
00533793,아시아퍼시픽11호선박투자회사,"ASIA PACIFIC NO. 11 SHIP INVESTMENT CO.,LTD",083580
00533836,아시아퍼시픽12호선박투자회사,"ASIA PACIFIC NO. 12 SHIP INVESTMENT CO.,LTD",083590
00144766,호반산업,"HOBAN INDUSTRIAL CO.,LTD.",004320
00525527,실리콘화일,SiliconFileTechnologiesInc.,082930
00372989,비엔씨컴퍼니,"BNC COMPANY CO.,LTD.",058370
00529523,동북아11호선박투자회사,DONGBUKA NO.11 SHIP INVESTMENT CO.,083360
00526474,동북아14호선박투자회사,DONGBUKA NO.14 SHIP INVESTMENT CO.,083390
00302801,디아이디,D.IDCorporation,074130
00124018,부산방직공업,BusanTextile,025270
00255071,현대에이치씨엔동작방송,"HCN DONGFAK Sysems Co., Ltd",034750
00364926,플렉스컴,FLEXCOM INC.,065270
00350491,웹솔루스,"WEBSOLUS CO.,LTD.",160350
00450214,마이스코,mysco,088700
01022054,솔트웍스,"Soltworks Co., Ltd.",222520
00164955,현대페인트,"Hyundai Paint co.,LTD",011720
00790501,한진해운,"HANJIN SHIPPING CO., LTD.",117930
00272412,글라소울,"Glassoul Co.,Ltd",045050
00207542,팬택자산관리,PANTECH PROPERTY MANAGEMENT INC.,025930
00394778,케이엔씨글로벌,"K&C Global Co., Ltd",068150
00446460,아이디에스,"InternationalDisplaySolutionsCo.,Ltd.",078780
00188946,훈영,"Hoonyoung CO.,LTD.",017170
00137702,한솔아트원제지,"Hansol Artone Paper Co., Ltd.",007190
00418476,엠제이비,"MJB CO., Ltd.",074150
00587101,바다로3호선박투자회사,Badaro No.3 Ship Investment Company,092630
00351047,아이팩토리,"i-factory Co.,Ltd",053810
00778040,거북선5호선박투자회사,Turtleship No.5 Ship Investment Company,114130
00778059,거북선6호선박투자회사,Turtleship No. 6 Ship Investment Company,114140
00126229,삼성물산,Samsung C&T Corporation,000830
00496003,피엘에이,"PLA Co., Ltd.",082390
00359030,닉스테크,"NICSTECH CO., LTD",063840
00510914,아시아퍼시픽9호선박투자회사,"ASIA PACIFIC NO. 9 SHIP INVESTMENT CO.,LTD",081940
00697329,거북선4호선박투자회사,Turtleship No.4 Ship Investment Company,108890
00149664,중앙건설,"JOONGANG CONSTRUCTION CO., LTD.",015110
00318839,미래에셋새천년코리아벤처펀드일호,MIRAEASSETNEWMILLENNIUMKOREAVENTURE FUND1,042950
00130897,하나은행,Hana Bank,002860
00183260,에이스하이텍,"Ace Hightech Co., Ltd.",071930
