corp_name,corp_code,stock_code,ceo_name,industry_code,established_date,ir_url,corp_reg_number,business_no
씨제이대한통운(주),00113410,000120,"신영수, 민영학 (각자 대표)",493,19301115,www.cjlogistics.com,1101110006167,1108105034
SK증권(주),00131850,001510,"전우종, 정준호",66121,19550730,,1101110037112,1168136307
(주)대우건설,00124540,047040,김보현,41112,20001227,,1101112137895,1048158180
(주)현대홈쇼핑,00412597,057050,"정교선, 한광영(각자 대표이사)",47919,20010529,,1101112248882,2118676540
(주)메타케어,00791209,118000,이수진,4659,20091201,,1701110391532,5048184573
참엔지니어링(주),00153621,009310,이경희,29271,19731004,,1746110001096,5068100661
엘아이지넥스원(주),00503668,079550,신익현,25200,19980225,,1101111516933,2158635051
효성중공업(주),01316245,298040,우태희,281,20180604,,1101116770154,5788700896
(주)엘지에너지솔루션,01515323,373220,김동명,28202,20201201,,1101117701356,8518102050
(주)대웅,00111810,003090,윤재춘,212,19610110,,1311110000271,1298100178
한국전력기술(주),00159209,052690,김태균,72129,19751001,,1101110186307,1208101490
(주)국보,00104519,001140,"박찬하, 김룡영(각자 대표)",49301,19531228,,1101110296073,1048124870
평화홀딩스(주),00155124,010770,"황순용, 김주영",303,19501030,,1701110006412,5148106346
(주)케이티앤지,00244455,033780,방경만,12000,19870401,,1601110067804,3068130866
(주)카카오,00258801,035720,정신아,63120,19950216,https://www.kakaocorp.com/ir/main,1101111129497,1208147521
(주)엔씨소프트,00261443,036570,"김택진, 박병무 (공동대표이사)",582,19970311,,1101111387748,2208143000
(주)케이티스카이라이프,00349097,053210,최영범,60229,20010112,,1101112149436,1178131120
한세엠케이(주),00357360,069640,"김지원, 임동환(각자 대표이사)",4741,19950331,,1101111144073,2038157509
(주)종근당바이오,00390055,063160,박완갑,212,20011112,,1101112373308,1108153652
(주)대웅제약,00427483,069620,"이창재, 박성수",212,20021001,,1348110075342,1248601143
SK네트웍스(주),00131780,001740,이호정,467,19560324,,1301110005199,1248100718
(주)에이치에스효성,01854763,487570,"조현상, 안성훈",64999,20240701,,1101118993457,7748603325
포스코홀딩스(주),00155319,005490,"대표이사 회장  장인화, 대표이사 사장  이주태",2411,19680401,,1746110000741,5068100017
롯데정밀화학(주),00157681,004000,정승원,20119,19640827,,1812110000013,6108100029
(주)신세계인터내셔날,00234412,031430,"윌리엄 김, 김홍극 (각자대표)",4741,19801025,,1101110282402,2018153657
동일고무벨트(주),00939687,163560,TANIYAMA KEN,2219,20121005,,1801110828129,6218197752
(주)농심,00108241,004370,이병학,108,19650918,,1101110057574,1188103914
교촌에프앤비(주),00453284,339770,송종화,46313,19991112,,1752110009005,5138116574
(주)동양고속,00540641,084670,최성원,49220,20050704,,1341110131073,1388128578
주식회사 에이플러스에셋어드바이저,00684802,244920,"곽근호, 황승목(각자대표)",66202,20070607,,1101113691973,2148810653
(주)이마트,00872984,139480,한채양,471,20110503,http://emartcompany.com/ko/investor/governance_01.do,1101114594952,2068650913
한화시스템(주),00339391,272210,손재일,26299,20000111,www.hanwhasystems.com,1760110020640,5138117175
코리안리재보험(주),00113191,003690,원종규,65200,19630319,,1101110226533,1028116957
주식회사 에프앤에프홀딩스,00126487,007700,박의헌,64992,19720224,,1101110126783,2148609977
(주)신세계아이앤씨,00219486,035510,양윤지,62021,19970429,,1101111408867,2018120549
