rcept_no,Corp Code,Total Assets (2024),Total Assets (2023),Total Assets (2022)
20250320000777,00136457,110375913378,120793105133,124160292131
20250331004012,00118345,1013743449745,975653234729,997884899051
20250321000631,00121288,199293931372,195918816223,218432623722
20250319000250,00146269,1115758897982,1059230389580,1176745986062
20250314000972,00130091,479780920010,474583602862,465919907060
20250312000916,00138729,1026484518181,1048177764841,1034948261694
20250328001290,00172936,482005377173,476136021763,499402713211
20250320001184,00151395,53502532108,54742622180,54845658330
20250320000950,00153126,1180815137965,1155786931774,1153770087447
20250318000022,00653024,1227138208863,952331547674,757789019510
20250311000946,00203582,290379147343,312095401371,319496520639
20250320001564,00165583,14539774932856,4597407646185,4339655185507
20250328001697,00860332,115578247112858,102235842680189,88977399369676
20250317000684,00159023,30515255000000,30119227000000,31308232000000
20250321001172,01562589,1905018000000,1698527000000,1635041000000
20250320001714,00138297,576408000000,578680000000,741784000000
20250319000937,00159795,878968656770,792428141673,585333635410
20250318000646,00118521,151334407812,151007705312,222866686597
20250326000601,00105952,20527939000000,18245954000000,17257356000000
20250320001367,00160621,109277355532,89173514797,82665926104
20250319001086,00539274,4418554230618,4159485425647,4015327448810
20250212000399,01180118,511512336502,511857698897,512895889358
20250313001156,01244601,4414712217433,3966486618370,3331422320817
20250320000493,00150244,3441538598928,3358347205530,3333438311387
20250321000349,00108977,432188136396,467423344729,470347262546
20250312000567,00148522,350454400155,265075748454,211309947551
20250311000263,00134963,1180193000000,1089744000000,1217311000000
20250411001905,01133217,62805282000000,54488157000000,39516079000000
20250312000816,00129387,619315087530,590613614037,587186274133
20250317000781,00148948,119924769170,118588764533,130041760125
20250521000343,00124151,226336878948,232856662011,233931779498
20250320000091,00157070,1564250855000,1425051765000,1289776454000
20250318001351,01032486,8169804000,8043861000,7297709000
20250312001045,01535150,4433542205994,4232565579262,4422943409055
20250318000980,00117577,5933196336149,5138300057884,5102168431194
20250313001148,00113508,1214838948245,1188823571530,1171989377978
20250317000712,00153755,528140837268,499119799811,490987940831
20250312000954,00132804,1366487636273,1310199052559,1187583002030
20250218000559,01437186,2525183126010,2473297506408,2343918337381
20250711000031,00143262,91715586046,113497686732,111631385016
20250320000501,00160861,232946140726,237369526405,225415182824
20250317000503,00114093,136247328127,126819096992,125172358791
20250318000960,00415628,620877554527,544018916698,551849173753
20250320001240,00990165,2195403207000,2120387916000,2040009732000
20250515002269,00165680,3813885971903,3006538770202,2938544987435
20250313001378,00684714,4096582596724,3660628679317,3395297191796
20250311001190,00126371,12792402920884,11657871601848,10997170898641
20250320000510,00148993,4077443964617,3979751148746,3945000964667
20250318001237,00565154,2714582224859,2560209103473,2290142554591
20250318000532,00593032,2914966723645,2755627761730,2584040376470
20250318000626,00133511,308253370839,303534566762,303815670161
20250320001187,00414601,482351415057,454404380777,610723418178
20250328001604,00416654,71306113634,62948969391,61023631583
20250318000876,01208885,947683277099,951329118368,1067615033035
20250312000686,00102140,80869826412,75127255780,68385030301
20250320001376,00143527,616320126682,606915246461,586813597619
20250320001049,00154055,53539770506,37386713995,34948504183
20250312000964,00144164,7539621970135,6081811411173,5831776891571
20250319000402,00159564,41498366351,44186932873,48045222224
,00112165,,,
20250312000116,01316227,4724182664945,4070471419196,4319879312472
20250306000713,00222532,1243517604881,1319446205693,1428013437283
20250319000892,01478712,1088723750887,1127535530258,1191756988159
20250321001897,00143314,93502192138,95035399315,106799190000
20250312000788,00138701,3334279155000,3272086007000,3182375948000
20250331004208,00983271,3193036597819,3449677276360,3025182021029
20250320001317,00112022,152521491003,138374975185,130913447074
20250321001612,00302926,5285394740000,5241484775000,4823869784000
20250319000431,00105299,1161899245538,1130467709471,1094801795415
20250313001301,00110893,26396108665000,22643488792000,21210735463000
20250312001129,01316236,3272029757634,3115610852602,3131118899043
20250331003403,00159102,66506135383633,60040428590956,57635178300728
20250321001224,00122898,640284164647,620426943865,601820033901
20250318001173,00939331,3126693019808,3009429377714,2933309479342
20250320001631,00231372,2166617248668,1764111056273,1802776594203
20250313000817,00129271,173158472097,139238488628,139115269782
20250324000696,00164812,2062309184431,2059712572964,1831301801553
20250317001028,00172291,1037613249183,936627620863,888860403342
,00300548,,,
20250314000941,00188089,1746167657721,1724265473784,1684715498594
20250317000810,00106368,8340238952259,7979694633685,7717403072460
20250321001425,00149026,412586797943,383909710687,364121570785
20250320000887,00123781,153106976657,156095854681,153622003905
20250318000396,00454946,204790661517,201377924078,196645335068
20250321001912,00261285,57669637000000,57254666000000,62424983000000
20250320000847,00131692,1017698965497,993737055884,926418535898
20250318000777,00122737,10271506000000,7853946000000,7548942000000
20250321001351,00107677,257400328225,191082593771,201061180940
20250227006937,00110608,363394228331,343481015258,364710386862
20250312001039,01059605,353395292441,336728433730,327522399303
20250320000879,00163345,870058289785,879384841947,414317384772
20250328002094,00161709,643928604574,597603859832,544804538072
,00622787,,,
20250318001436,00136402,254881524377,242937272679,242350721393
20250317000553,00133335,719893318041,769067174916,820314254965
20250319000740,00369833,138270697101,187088686775,204164784861
20250318000789,00131054,9646708149349,8699332043240,8076408298781
20250317000861,00151368,470981724710,428501449457,433167237634
20250327000192,00159698,8362237776886,7968409129278,7478129879658
20250313000950,00128555,4518198223654,4432766185103,5021952466150
20250320000634,00112679,372341113498,334751849114,338228490208
20250318000918,00160205,307361942953,333192248433,325998841087
20250313000955,00129280,70192709528,73014231901,68742292985
20250220001567,00225159,2832564017795,2701797834311,2558426986621
20250306000568,00260383,2219743050345,2196492714337,2195832515923
20250318000723,00106395,33341564828,52905126549,62193732605
20250327001289,00104999,294579163963,302851731273,270394721804
20250324000610,00121543,680447311689,639327517358,605739795014
20250312001137,00145109,2942048836634,2812305590753,2472728072149
20250320000385,00132628,75426856694,60912720397,57241315662
20250313001417,00413523,470883954867,398871055382,373059659521
20250318000772,00142883,433752930051,380460470089,282515715608
20250319000926,00980122,66721914000000,63403970000000,59828165000000
20250313001050,00118275,319610580416,280589482061,274585823020
20250313000657,00115384,238666824251,224384203562,216528029378
20250318001253,00404701,1725879725519,1480050024356,1363794175394
20250318001410,00500254,35063398000000,34448425000000,33922242000000
20250313000901,00113359,15898332583027,15593363016079,13417260497201
20250317000206,00148461,116092096071,106615084744,104117875897
20250214002376,01391033,112623172402,106456041628,110564160617
20250718000228,00177199,293570010254,277642743004,306956322608
20250318001443,00161976,2825659862512,2152345946852,2036963741120
20250317000376,00166315,1321669869758,1196813984369,1004620994499
20250317000788,00117629,192335715993,208762933559,183082959042
20250312001033,00435312,267487698093,270448865007,292456090103
20250318001006,00555874,1998506193261,1980894333656,1644674848545
20250318001070,00120021,31639273000000,30253085000000,29633677000000
20250320000910,00432102,109220199166181,95901185591112,86308574156762
20250318001334,00113526,47012065940089,30391776029656,28997701022484
20250311000605,00115065,96866644254,97568839749,92085226130
20250321001734,00170558,5761561091079,4850965736396,4365074875331
20250320001129,00269940,668789503298,644596377665,455429440460
20250314000812,00129989,784541943950,672673343828,451321116581
,00356361,,,
20241213000520,01576102,361337561141,369857871994,352325224080
20250325000721,00148540,47496993224000,47203762893000,48240408307000
20250313001390,00106641,92755874000000,80627826000000,73710965000000
20250324000768,00152880,2719945901907,2571300487925,2834147586184
20250328001694,00138260,1079604688000,1057913470000,965098439000
20250620000111,00120562,22660277693897,23160430746458,22175416666050
20250318000920,00164724,3573751146561,3535433379184,3014471063421
20250320001394,00249247,237801884923,225534081771,241371893905
20250320001103,00159616,26314835000000,24640834000000,23049782000000
20250318001112,00139764,142489241515,144034594170,128080156342
20250310000865,00140955,1464678817159,1350979663141,1253310602636
20250317000938,00105606,433457378286,441768263473,426633825138
20250318000783,00133618,50104587055,50999114290,51641840702
20250318000667,00133812,1480281617589,1345241646591,1280973786600
20250319000744,00123772,1651368375233,1770492019487,1481429884085
20250312000675,00158112,351203466132,357003990077,345521340104
20250715000144,00163196,340452046261,331028995726,339154971493
,00108135,,,
20250312000891,00109718,2123550790244,1262971666006,1168252667285
20250318001036,00100939,969739160656,985686727233,957791314832
20250320000853,00423690,208565174070,196570540338,211487637576
20250319000355,00152039,199881677024,198246797314,185935448420
20250313001218,00587466,2018154285684,1928646649981,1819893802654
20250318000559,00141413,216774804117,210002658451,220738936358
20250320001398,00115287,630330388517,599319321340,567964926094
20250317000315,01128613,1537604343788,1360570205531,1475831730945
20250715000164,00796994,168292925340,155538184310,145133296597
20250314000954,00353878,324736258465,320034640962,346117669232
20250318001121,00760971,7919463568015,6440456619598,6037783966136
20250320001026,00122579,696400955313,685663060325,668872026401
20250320000753,00815369,285110877176,251634548809,243275367790
20250321001687,00156354,630543293190,579056069012,550819602976
20250318001105,00197759,131612702717,103781272550,134409509636
20250321001828,00400857,159085850798,173841489988,195431756905
20250320001416,00194947,219980917783,203640941365,157781435629
20250321001800,00108612,735819053361,718904136635,565587169489
20250220001259,00134477,1034086066876,1056904317494,930994305130
20250319000503,00138279,24451433000000,21576123000000,19613135000000
20250318000552,00160418,1013538338341,874724776068,799394136303
20250320001454,00145552,957246232000,1093466714000,1188076573000
20250313001452,00116949,5006031529000,4567386501000,4591590751000
20250320000220,00269241,42542059412,45913552331,53242325293
20250331002907,00220613,691783323885,642480608085,588012317030
20250318001202,00176914,57147924043319,53342459330150,49260008742513
20250320000626,00120076,8930865616216,7995340730864,7719007333629
20250318001193,00160232,1892003803431,1656034879630,1659172643001
20250317001029,00401731,65629589000000,60240793000000,55156141000000
20250314001183,00508344,1462224549572,2423076382258,2191576214447
20250515002814,00111722,137176998056307,128206948648964,106952189880235
20250320001174,00147860,105927863551,103259018308,149581296371
20250327001293,00128227,298459252351,245334463702,232663818640
20250402002557,00193009,961032191903,1035818460628,1246019564242
20250321000735,00145437,23296368270,48534629654,73158525417
20250318001106,00255619,4700641154570,4448655838228,4167752670696
20250318000811,00158316,3521880947809,3484123285552,3378563521222
20250317000429,00583424,6783507800768,5886510888702,5801783178159
20250314001597,00113997,2282023058453,2392246607934,2430279801877
20250321000939,00480455,968810437104,899134400319,853387672706
20250319000813,00706715,494326942400,467503157829,485886407079
20250317000545,00106313,1552771308059,1692362777882,1691163707318
20250320001121,00828789,1686365340319,1733306521982,1824588314611
20250321001138,00125576,83146042729,90568081356,84258477019
20250317000668,00145880,34743788025637,35218841930044,36800955829773
20250321001470,00129420,276541274780,255548356312,195489393903
20250310000394,00855163,187152690281,164770958446,147864035732
20250312000767,01363818,2623648647194,2301822104866,2313651238698
20250321000777,00115612,1651094133285,1807512336047,1581700494344
20250331003267,00135917,19834160583099,18115263746011,17173511589408
20250314000520,00191588,290658433763,303735700802,293690103032
,01060814,,,
20250318000275,00480367,1421941567198,1431906666880,1220003934152
20250320000750,00127255,136049880807,132156558539,135833316129
20250318001327,00115676,3341371364302,3195514054360,3051507326663
20250319000715,00114552,605181373534,605100050298,522590275567
20250313000820,00116301,473689516733,447987063260,397444642902
20250312001047,00117179,1003494179959,930244752630,861083032957
20250708000057,00121570,224208819934,231645964686,206906858449
20250320000660,00142865,100192777916,122990006604,128503266423
20250320001108,00130772,1512366601922,1346398451632,1407888696660
20250314001717,00133991,690146270816,693805240728,690192115483
20250320001474,00143651,970970804269,1027078032335,1094417787764
20250326001216,01042775,7052043027166,6286700392151,5845841407280
20250318001196,01350869,525753320000000,498004936000000,480474396000000
20250317000904,00163512,4189506445715,4201363599974,4093197691709
20250321001500,00180795,556215707649,482869726172,411164184888
20250306000676,00646732,667046949686,643080913118,597085261527
20250318001032,00564562,574103551032,535697470080,538890010550
20241016000322,01622720,1078591739263,1034432803924,982489297616
20250311001260,00398701,2799831517733,3351444610588,3023932974764
,00907013,,,
20250320000738,00102113,544969281413,538955972428,548252999063
20250801000808,00145598,499993817147,499775513693,484691741651
20250320000173,00409672,105764284096,110046703211,112327631684
20250317000934,00138057,85143471743,82497512373,76509689752
,00109693,,,
20250110000545,01669226,1586401656876,712472007685,710393030576
20250320001565,00159971,289342395414,916578395937,792860678470
20250320001366,00367710,292407975377,217309008513,198494534925
20250318000665,00104786,74867189585,84461940667,97492843199
20250317000859,00101433,489019203715,448592733973,448632689252
20250320001663,00109824,162827837044,177143797015,171792618625
20250320001319,00126201,322603910471,313423840444,308654791181
20250318000116,00159786,1364801977175,1259135784421,1489264677517
20250319000185,01702017,235451613708,219885414270,213631274794
20250318000645,00266961,38167876036020,35737826964395,33899042889136
20250320001543,01762569,299546745134,217960142410,
20250605000505,00122694,187184486500,192910732982,215054261704
20250317000839,00544452,676886464617,682625491786,690297270403
20250317000894,00547583,637847513000000,591925995000000,568603280000000
20250321001515,00149655,61990426835548,66127029212679,58981492466950
20250318001176,00858364,152470490926534,145783633894264,136932606929118
20250313001195,00161693,1067251785665,1051517418790,1099679540571
,00105280,,,
20250321000838,00154426,140860365620,151653101094,246320129412
20250311000913,00124780,337828786614,320138049682,350700454619
20250328001868,00139214,87269492540789,85019029989421,80796010435039
20250312000312,00166500,174332394129,167517651255,161427031413
20250320001296,00787376,797405774074,803198158498,834489958201
20250313001222,00426086,1168226900665,1099714172170,941352875184
20250317000651,00121932,478696089051,447566168775,415619324562
20250318001459,00299002,2370763879407,2298229319032,2279864889843
,00356370,,,
20250318001091,00878696,1036810779623,723170577189,664241139428
20250318000565,01267170,5367048627339,4158774903691,3945682879744
20250320001596,00181943,369575805909,339809517118,328166066953
20250317000896,00595191,826277280544,853376951920,933755417033
20250318001079,00136271,605269638823,587747541244,577555245278
20250313000809,00149239,421666740574,390898368641,367680590342
20250320000299,00104768,1042884426000,801805532000,752332445000
20250313000850,00118266,982414184864,963651592108,945238494728
20250318000993,00382199,739764256000000,691795333000000,664433230000000
20250317000787,00167208,443559317530,325653339437,317059936570
20250314001522,00545716,7006616781040,6718109060318,6927204106064
20250313000132,00767460,527526386235,517945909903,498996615717
20250312000525,00972503,344277767089,338352795709,342505450921
20250327000348,01205842,3324625332000,3296953373000,3448586770000
20250320000952,00152729,260831921228,251180472123,247855306698
20250317001025,00360595,16849145438725,14725019903938,13877784500296
,00403632,,,
20250318001322,00161860,244556132689,247301097498,234918895770
20250321000678,00480950,301066402104,467831375076,566212896315
20250318001045,00428251,11217721674000,11712592639000,12069249655000
20250515002241,00135962,764717279119,748620183007,716401497952
20250326000026,00447609,1319868751137,1089361044645,1009659166536
20250321001823,00106119,1256933888453,703467371639,278599452437
20250320000999,00108940,1249662505720,1245982849279,1391346077818
20250319001012,01205709,73866670219000,67982820888000,65570861076000
20250321001884,00140964,6576715632460,6379343146101,5490219711184
20250317000724,01199550,453774373436,502056913859,652825960031
20250318001413,01010110,1646281734989,1288624909154,1235636097982
20250314000805,01721809,955626273000,880317203000,
20250318000465,00106669,3826646864046,3665171000621,3818404052059
20250312001130,00160843,2396851168578,2043378694132,2142165862418
20250211000671,01430475,1279218586238,1255981315541,1260156967376
20250318000964,01323032,524847598138,554118292957,534356690809
20250318000402,00173078,1210314499204,1044875997928,929267254095
20250318001154,00459871,1611495229296,1505059211842,1389130864097
20250317000667,00573579,232580292137,252411568748,236600606117
20250312000670,00861076,205048917905,213094328463,270247968384
20250321001834,00190321,41879957000000,42709982000000,40980681000000
20250321001998,00776820,5389722907461,5297123640656,4513623780811
20250321001007,00107613,790136366426,626436318507,546014160739
20250320000395,00113225,1149797079037,1115779074661,1220496809666
20250424000289,00118451,171801171723,179232275038,179708719037
20250314001008,00139454,499351468105,482372595474,482639615354
20241202000425,01475609,852959307008,856998452958,860319134363
20250312000962,00140779,202580696056,179035625324,180449397115
20250320000234,00134565,77931992229,79504419607,79791361051
20250313000876,00136624,404169290573,401719803161,425804458911
20250314001348,00248974,382010680680,348386182460,345964556425
20250418000372,00344287,4287197767266,4418425813336,4736667586250
20250311001013,00148610,14018124416878,13250183608173,12111249518203
20250711000373,00164609,5108867288000,4909071433000,4748245499000
20241223000285,01442966,160414844184,155430160438,170145353553
20250319000651,00117230,836567835684,849110905422,782128426554
20250320001179,00442835,133243438025,111855784929,90016753672
20250317000836,00161116,1702996461973,1724300709671,1667421795499
20250318001072,01026157,631516754233,679023237717,585713154632
20250319000773,00114765,764811017139,622237518375,553570561673
20250321001576,01190568,565143563187,287309488243,183130939633
,00141273,,,
20250321000898,00153339,684731194390,635637932457,625038862557
20250318000832,00117027,954000570292,861149661387,816932966181
20250801000425,00163716,70208203490,90310467877,113480993232
20250317000875,01817081,731694676657,,
20250317000722,01765265,3194015021446,3531787086236,
20250313000770,00120182,62427065000000,56697893000000,53428267000000
20250331002970,00150828,543584682937,574331455413,451746878881
20250319000665,00164779,119855209000000,100330165000000,103871512000000
20250702000575,00171636,933158869000,720105338000,723295784000
20250318001364,00181712,214977754000000,206970264000000,194505860000000
20250318001204,00632304,1250608664458,1176266427927,1157579707497
20250318000878,00414850,166325113534,176284813736,176818736427
20241211000290,01276594,2158801775445,2004292844565,1825422708400
20250312001103,00126308,10013337796132,7801398613122,7848723222714
20250318001318,00163114,3424466755541,2771870652879,2323543346933
20250311001197,00148984,1697695581000,1621801859000,1620442052000
20250321001009,00652423,162730128455,145703789452,144283848412
20250318000675,00127167,728709407076,675612520563,624208062873
20250320001237,00123143,1164086929992,915511541054,892385915179
20250318001404,00101664,283886655960,266305016913,240544942124
20250318001316,00983040,4207157981000,3784921894000,3915077622000
20240919000201,01510489,512323973,564899607,386583053
20250314001639,01524093,9712402219987,9344058758180,8974717444285
20250319001044,01596425,21921051000000,17970008000000,22160583000000
20250318001395,00209780,1046845412327,1062311270068,1004623911655
20250317000599,00149804,334711356299,336026490235,1375206765319
20250321001016,00111689,102542697306,94593219371,91241229943
20250320001602,00797364,294063763220,414426220424,323473720683
20250320000947,00129235,203950424754,201158073368,222783556966
20250318001083,00112059,1230922556862,2173761439448,598057726910
20250317000672,00134510,1240617966721,1151805423714,1149427317637
20250321001187,01204056,5479186860000,5345681487000,4870434315000
20250331003821,00160588,252036985000000,209738149000000,196976926000000
,00113562,,,
20250331002554,00226316,396031860184,315985635997,316098137496
20250228006453,00160375,57413480032,51748834667,46084520659
20250311001180,00164788,66596905000000,58585845000000,55406698000000
20250320000581,00132868,116893023052,128439236485,123872501880
20250318001138,00119672,514202251500,477089681561,462171290214
,00124504,,,
20250328001724,00128032,395071163939,370680097036,356700496639
20250318000319,00145163,99264316559,92518752840,109647189040
20240920000129,00441243,143183788567,125126388096,109225633024
20250312001148,00164742,339798429000000,282463355000000,255742462000000
20250318001174,00225706,325323614449,255836393033,252942118072
20250328001704,00557508,616232394204,639368283536,609513166650
20250321001840,00681142,126894720950,143820156106,167746018396
20250320000945,00173795,141427657791,140331352601,140622549545
20250317000808,00129013,173079219891,168208968603,143409086635
20250715000025,00135795,1143580683305,1078782998517,1038493447520
20250321001829,00161125,10620252377496,9244404434130,9098783327544
20250318000756,00138792,13449903474132,13016745781139,13455341411799
20250317000731,00651901,1417585685197,1358083334270,1227883087659
20250326000618,00121039,257987686198,236548793649,230449822959
20250318000747,00159193,246807795000000,239714965000000,234804994000000
20250313001099,00105271,13108550142754,13353471078397,13118486307658
20250319000952,01384787,803831909889,203918102465,91904189243
20250321001284,00124090,550648594083,560997435417,547808387659
20250317000708,00124197,5555573758508,4340755996109,3572067658664
20250725000507,00367844,1305235716477,1569164880846,1952688130478
20250509000499,01194689,1152227968481,656618146496,519815758191
20250320001309,01205851,3795545096460,2910160077690,2435030170738
20250317000697,01236897,525699687066,487326297597,456891539429
20250314001630,00111704,17843809161295,13944772692394,12235665304876
20250318001293,00260408,1149384209788,1119229511779,1223174230326
20250321000702,00365989,1017716442164,1004928193150,868285864187
20250311001270,00139834,4504507763000,4040679600000,3865135143000
20250317000508,00362238,765377954903,782722786559,793759627507
,00362441,,,
20250320000981,00422895,576374088374,584799203503,573569548297
20250318000897,01390344,19390946750000,17133618109000,16289398053000
20250318001013,00102432,2941317715233,2726892636022,2560028661008
20250314001464,01480780,654595069924,660449117491,695374934490
20250312001090,00125150,3436299886778,2967510633959,3054362176494
20250319000833,00154329,752330379026,686463960698,721226342857
20250314001653,00158325,585667200738,493709695212,481091462120
20250325000771,00670340,3609483010970,2869361277711,1784106978440
20250318000822,00372873,469932148859,447609122047,396208069290
20250306000580,00877059,17336296349511,16046197209196,16582050258486
20250317000856,01319899,2843596036892,1852439180084,2141931383550
20250314001765,00102618,192750825652,232056132248,297554555403
20250321001836,00145446,438748509882,443074731432,442826933314
20250321001958,00203290,1291431788085,1289735866717,1269102053314
20250318000167,00753643,36612068110,34134611938,32951331825
20250317000918,00105855,4485197464384,3732891934230,3322804977898
20250310000706,00111421,241011444524,299334914118,304125357471
20250325001056,00113207,2642726208000,1878565100000,1620264871000
20250321001537,00453488,104165712520,106521396855,97847548126
20250319000576,00112378,85272527872,138570416599,149185245583
20250407004328,00469799,100287243339,172159921484,120327643368
20250319000945,00172185,276057373612,258113198377,271152128807
20250317000932,00120571,4372529473212,4257669750821,3695935640310
20250311001085,00126380,514531948000000,455905980000000,448424507000000
,00126566,,,
20250317000096,00128980,345696628502,328385015731,282392862209
20250725000806,00165413,34552330375053,33476310224541,26784587810580
20250317000701,00231363,19707730000000,20100605000000,19774800000000
20250317000635,00274933,833687666448,875471406681,903927240057
20250321001474,00303873,3997014314732,3194214710432,3601468386488
20250313001171,00161383,710872366678,723839103741,455432965985
20250317000567,00372129,219236327906,158316498662,142761887718
20250320001381,00117498,264651295308,284857118798,253949338421
20250321001221,00104388,1593312464298,1509561242743,1499093658603
20250320000779,00198697,78894803695,111889654938,117303570494
20250320001537,00111999,583388833683,507998342357,453550065821
20250311000815,01770203,575538213000,438033783000,
20250318001169,00481454,5362836776663,4830981257390,4694985403484
20250402002504,01311408,1290236698738,1104235205797,634913145189
20250317000953,00113410,9743855522383,9357587266747,9693299818264
20250319001113,00131850,6109295395638,6449093771600,6464840829921
20250318000982,00124540,12658456266814,11243136483407,11140353752210
20250317000550,00412597,5175067326608,3432527148806,2782027992185
20250320001573,00791209,156696839751,155304761752,189857328007
20250318000654,00153621,664305023249,678200011160,739665588573
20250321002001,00503668,6125264653217,3815758833285,3012727223129
20250312000970,01316245,6218812921202,4761300218430,4693470608273
20250312000405,01515323,60306791000000,45437144000000,38299445000000
20250401003907,00111810,2720693911174,2359277174097,2158905107252
20250321000310,00159209,946846882988,855008772803,816503301678
20250321001993,00104519,75396030106,91419723256,109959854401
20250317000760,00155124,533421606621,560931482078,558370415231
20250318001223,00244455,13925237000000,12772452000000,12301716000000
20250324000901,00258801,25773028304462,25179968939321,22963544024389
20250328002285,00261443,3953941191414,4393800423903,4437632450781
20250318001057,00349097,1040240740660,1215697591061,1361298311421
20250318000981,00357360,268529324803,268472036704,224809704278
20250318001004,00390055,284491992883,293785061321,312590995328
20250401003870,00427483,1976977110511,1770310792992,1563340613712
20250318000975,00131780,5157129000000,9110359000000,9499259000000
20250312000990,01854763,1143492676338,,
20250312001016,00155319,103404198997805,100945394185079,98406780635254
20250327000664,00157681,2713850667217,2682930419573,2709845870581
20250313000018,00234412,1333123240117,1324069585447,1278681814634
20250312000762,00939687,354076507146,374040833046,381228401577
20250312000711,00108241,3597461570702,3234751426458,3034718535547
20250324000180,00453284,342865917617,326364540917,304973382954
20250321001272,00540641,157734719637,168393915617,165498374153
20250320001609,00684802,479276186298,372854700755,345302037105
20250318000688,00872984,33930639265588,33443865586475,33201721508714
20250314001773,00339391,5724010115718,4483210824746,3945627700263
20250331003380,00113191,13160392022865,12066324170936,11017223863261
20250318000985,00126487,4033253443201,3840524557786,3595118444613
20250317000967,00219486,502933995272,476561497604,482934079721
20250318001144,01568413,2285904738684,2005097998970,1570179025400
,01880801,,,
,00105101,,,
20250317000943,01765256,1835139730494,1710734507031,
20250319000653,01519790,357113314488,328756466141,555404479161
20250318000798,00132725,216746717512,165627371912,170785287337
20250321001572,00137207,186320012345,219549496423,434878230535
20250321001886,00122825,90729786743,76484143419,101183784087
20250321001205,00132211,502781287038,628100647252,524434319704
20250321001415,00122056,488925013884,416240456536,357326202513
20250321001573,00152385,609968261404,594427762667,599853281741
20250318000388,00361008,1413101954226,1136858165266,956230294638
20250317000595,00156859,9603169769789,9211837352163,9503703776447
20250320001095,00103130,336750096820,273648831677,303643329972
20250314001672,00119007,1691457264967,1622970089396,1604057802775
20250314001620,00133706,755097664409,736849822539,670596098546
20250320001403,00134723,490046182315,491668368146,501830145462
20250317000368,00136086,2482701674586,2392625541633,2429133745988
20250320001570,01784394,239026712635,73934283329,
20250321001553,00108038,577610425954,537632854213,527275693474
