rcept_no,corp_cls,corp_code,corp_name,nmpr,jan_avrg_mendng_am,mendng_totamt,rm,stlm_dt
20250318001173,Y,00939331,한국콜마,10,"357,000,000","3,567,000,000",-,2024-12-31
20250320001631,Y,00231372,롯데관광개발,6,"416,000,000","2,915,000,000",-,2024-12-31
20250313000817,Y,00129271,삼화전기,8,"235,321,000","1,882,571,000",-,2024-12-31
20250324000696,Y,00164812,현대코퍼레이션,6,"922,000,000","5,532,000,000",-,2024-12-31
20250317001028,Y,00172291,더존비즈온,6,"385,000,000","2,309,000,000",-,2024-12-31
20250318001257,Y,00300548,현대리바트,7,"315,000,000","2,208,000,000",-,2024-12-31
20250314000941,Y,00188089,한섬,9,"332,557,000","2,993,009,000",-,2024-12-31
20250317000810,Y,00106368,금호석유화학,10,"295,000,000","2,951,000,000",-,2024-12-31
20250321001425,Y,00149026,CS홀딩스,4,"159,332,000","637,329,000",-,2024-12-31
20250320000887,Y,00123781,부국철강,4,"340,000,000","1,362,000,000",-,2024-12-31
20250318000396,Y,00454946,그린케미칼,5,"200,000,000","998,000,000",-,2024-12-31
20250325000742,Y,00261285,한국가스공사,6,"128,450,000","770,700,000",(주1),2024-12-31
20250320000847,Y,00131692,서흥,5,"207,000,000","1,033,000,000",-,2024-12-31
20250318000777,Y,00122737,팬오션,7,"451,000,000","3,155,000,000",-,2024-12-31
20250321001351,Y,00107677,비비안,9,"48,837,302","439,535,722",-,2024-12-31
20250227006937,Y,00110608,DSR,4,"299,133,000","1,196,531,000",-,2024-12-31
20250312001039,Y,01059605,디와이파워,5,"98,000,000","491,000,000",-,2024-12-31
20250320000879,Y,00163345,DB,8,"314,000,000","2,509,000,000",-,2024-12-31
20250328002094,Y,00161709,퍼시스,6,"160,351,666","962,110,000",-,2024-12-31
20250318001275,Y,00622787,바이오노트,7,"234,000,000","1,640,000,000",-,2024-12-31
20250318001436,Y,00136402,신송홀딩스,5,"159,000,000","793,000,000",-,2024-12-31
20250317000553,Y,00133335,성창기업지주,4,"114,221,176","456,884,704",-,2024-12-31
20250319000740,Y,00369833,유니온머티리얼,5,"158,000,000","792,000,000",-,2024-12-31
20250318000789,Y,00131054,유진증권,5,"489,000,000","2,448,000,000",-,2024-12-31
20250317000861,Y,00151368,인터지스,5,"170,000,000","850,000,000",-,2024-12-31
20250327000192,Y,00159698,지역난방공사,10,"100,455,000","1,065,427,000",-,2024-12-31
20250313000950,Y,00128555,삼천리,5,"260,000,000","1,299,000,000",-,2024-12-31
20250320000634,Y,00112679,대창단조,6,"201,500,000","1,209,000,000",-,2024-12-31
20250318000918,Y,00160205,한국내화,4,"409,000,000","1,638,000,000",-,2024-12-31
20250313000955,Y,00129280,삼화전자공업,5,"35,627,000","178,134,000",-,2024-12-31
20250220001567,Y,00225159,SNT홀딩스,5,"160,000,000","799,000,000",-,2024-12-31
20250306000568,Y,00260383,대한유화,7,"605,000,000","4,234,000,000",-,2024-12-31
20250318000723,Y,00106395,금호전기,7,"166,000,000","1,163,000,000",-,2024-12-31
20250327001289,Y,00104999,윌비스,8,"123,000,000","985,000,000",-,2024-12-31
20250324000610,Y,00121543,무학,7,"181,000,000","1,267,000,000",-,2024-12-31
20250312001137,Y,00145109,유한양행,7,"329,000,000","2,306,000,000",-,2024-12-31
20250320000385,Y,00132628,성문전자,5,"100,160,000","500,880,000",-,2024-12-31
20250313001417,Y,00413523,한미글로벌,11,"245,000,000","2,698,000,000",-,2024-12-31
20250318000772,Y,00142883,우신시스템,4,"235,263,000","941,040,000",-,2024-12-31
20250319000926,Y,00980122,JB금융지주,11,"327,000,000","3,132,000,000",-,2024-12-31
20250313001050,Y,00118275,디아이,7,"450,000,000","3,151,000,000",-,2024-12-31
20250313000657,Y,00115384,동방아그로,7,"301,096,000","2,107,675,000",-,2024-12-31
20250318001253,Y,00404701,한국자산신탁,6,"260,000,000","1,619,000,000",-,2024-12-31
20250318001410,Y,00500254,GS,7,"1,202,000,000","8,411,000,000",-,2024-12-31
20250313000901,Y,00113359,교보증권,8,"247,338,000","1,978,707,000",기본보수/성과급/기타평균보수액 8명으로 계산,2024-12-31
20250317000206,Y,00148461,제일연마,7,"192,373,929","1,346,617,500",-,2024-12-31
20240813001318,Y,01391033,NH프라임리츠,4,"2,100,000","8,400,000",-,2024-05-31
20250214002376,Y,01391033,NH프라임리츠,4,"2,100,000","8,400,000",-,2024-11-30
20250718000228,Y,00177199,디씨엠,5,"254,000,000","1,272,000,000",-,2024-12-31
20250318001443,Y,00161976,한세예스24홀딩스,8,"164,557,000","1,151,898,000",-,2024-12-31
20250317000376,Y,00166315,화신,5,"115,000,000","576,000,000",-,2024-12-31
20250317000788,Y,00117629,동양철관,4,"64,000,000","257,000,000",-,2024-12-31
20250312001033,Y,00435312,하이스틸,5,"245,683,000","982,733,000",-,2024-12-31
20250318001006,Y,00555874,제주항공,6,"102,000,000","610,000,000",-,2024-12-31
20250318001070,Y,00120021,LG,7,"1,876,000,000","13,129,000,000",-,2024-12-31
20250320000910,Y,00432102,한국금융지주,11,"270,000,000","2,508,000,000",-,2024-12-31
20250318001334,Y,00113526,대한항공,14,"536,000,000","7,498,000,000",'24.3.21부 신임 3인 '24.3.21부 퇴임 3인 / '24.03.25부 퇴임 2인 포함,2024-12-31
20250311000605,Y,00115065,동남합성,6,"66,000,000","399,000,000",-,2024-12-31
20250321001734,Y,00170558,코웨이,7,"461,488,000","3,230,418,000",-,2024-12-31
20250320001129,Y,00269940,하나투어,12,"163,000,000","1,465,000,000",-,2024-12-31
20250314000812,Y,00129989,코스모신소재,6,"217,000,000","1,304,000,000",-,2024-12-31
20250731000339,Y,00356361,LG화학,8,"461,000,000","3,688,000,000",-,2024-12-31
20240618000339,Y,01576102,미래에셋글로벌리츠,4,"825,000","3,300,000",-,2024-03-31
20241213000520,Y,01576102,미래에셋글로벌리츠,4,"825,000","3,300,000",-,2024-09-30
20250313001390,Y,00106641,기아,9,"711,000,000","6,398,000,000",-,2024-12-31
20250324000768,Y,00152880,코오롱글로벌,10,"325,000,000","3,248,000,000",-,2024-12-31
20250328001694,Y,00138260,SIMPAC,5,"388,000,000","1,941,000,000",-,2024-12-31
20250620000111,Y,00120562,롯데지주,9,"1,066,000,000","9,329,000,000",-,2024-12-31
20250318000920,Y,00164724,현대엘리베이터,7,"116,000,000","812,000,000",-,2024-12-31
